Player,Cl,Ht,Pos,G,BLKS,BKPG,AST,FGM,3FG,FT,PTS,PPG,FTA,FT%,ORebs,DRebs,REB,ST,3PG,STPG,3FGA,RPG,MP,FGA,Trpl Dbl,FG%,3FG%,MPG,APG,Dbl Dbl,TO,Ratio
"Tommy Schmock, Ohio (MAC)",,,,,,,,,,,,,,,,,,,,,159.0,,,,,,,,,,,
"Caleb Daniels, Villanova (Big East)",,,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,
"Jaylen Fornes, UNCW (CAA)",,,,,,,,,,,,,,,,,,,,,168.0,,,,,,,,,,,
"Skyelar Potter, Morehead St. (OVC)",,,,,,,,,,,,,,,,,,,,,176.0,,,,,,,,,4.0,,
"Caleb Grill, Iowa St. (Big 12)",,,,,,,,,,,,,,,,,,,,,164.0,,,,,,,,,,,
"Sean McNeil, West Virginia (Big 12)",,,,,,,,,,,,,,,,,,,,,155.0,,1077:41,,,,,33:41,,,,
"Cormac Ryan, Notre Dame (ACC)",,,,,,,,,,,,,,,,,,,,,140.0,,1048:18,,,,,,,,,
"Aaryn Rai, Dartmouth (Ivy League)",,,,,,,,,,,,,,,,,,,,,,5.44,,,,,,,,3.0,,
"James Butler, Drexel (CAA)",,,,,,,,,,,,,,,,,,,,,,5.36,,,,,,,,6.0,,
"Clyde Trapp, Charlotte (C-USA)",,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,3.0,,
"Jerome Desrosiers, Hawaii (Big West)",,,,,,,,,,,,,,,,,,,,,,4.96,,,,,,,,5.0,,
"Bernie Andre, UT Martin (OVC)",,,,,,,,,,,,,,,,,,,,,,4.84,,,,,,,,6.0,,
"Tanner Christensen, Idaho (Big Sky)",,,,,,,,,,,,,,,,,,,,,,4.82,,,,,,,,,,
"Dana Tate, Norfolk St. (MEAC)",,,,,,,,,,,,,,,,,,,,,,4.81,,,,,,,,,,
"Kailex Stephens, Indiana St. (MVC)",,,,,,,,,,,,,,,,,,,,,,4.76,,,,,,,,,,
"Lincoln Smith, Lamar University (WAC)",,,,,,,,,,,,,,,,,,,,,,4.68,,,,,,,,,,
"Dalonte Brown, Miami (OH) (MAC)",,,,,,,,,,,,,,,,,,,,,,4.67,,,,,,,,,,
"Will Pruitt, Lipscomb (ASUN)",,,,,,,,,,,,,,,,,,,,,,4.67,,,,,,,,,,
"Kyle Jenkins, Lafayette (Patriot)",,,,,,,,,,,,,,,,,,,,,,4.66,,,,,,33:16,,,,
"Eric Curry, Minnesota (Big Ten)",,,,,,,,,,,,,,,,,,,,,,4.65,,,,,,,,,,
"Marcus Watson, N.C. A&T (Big South)",,,,,,,,,,,,,,,,,,,,,,4.62,,,,,,,,4.0,,
"Tasos Kamateros, South Dakota (Summit League)",,,,,,,,,,,,,,,,,,,,,,4.58,,,,,,,,3.0,,
"Nate Scott, Eastern Mich. (MAC)",,,,,,,,,,,,,,,,,,,,,,4.57,,,,,,,,,,
"Jordan Lathon, Milwaukee (Horizon)",,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,
"Austin Butler, Charlotte (C-USA)",,,,,,,,,,,,,,,,,,,,,,4.48,1019:05,,,,,32:52,,4.0,,
"Bryce Moragne, Florida A&M (SWAC)",,,,,,,,,,,,,,,,,,,,,,4.44,,,,,,32:39,,,,
"Jairus Hamilton, Western Ky. (C-USA)",,,,,,,,,,,,,,,,,,,,,,4.38,,,,,,,,4.0,,
"Justin Edler-Davis, CSU Bakersfield (Big West)",,,,,,,,,,,,,,,,,,,,,,4.37,,,,,,,,,,
"Devontae Blanton, Eastern Ky. (ASUN)",,,,,,,,,,,,,,,,,,,,,,4.34,,,,,,,,4.0,,
"Tedrick Wilcox Jr., St. Francis Brooklyn (NEC)",,,,,,,,,,,,,,,,,,,,,,4.34,,,,,,,,4.0,,
"Josh Cohen, Saint Francis (PA) (NEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
"Dame Adelekun, Dartmouth (Ivy League)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Ben Wight, William & Mary (CAA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
"Tamell Pearson, Western Ill. (Summit League)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mike Marsh, Jacksonville (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Mahamadou Diawara, Stetson (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patrick Emilien, St. Francis Brooklyn (NEC)",,,,,,,,,,,,,,,,,,,,,,,,,,47.8,,,,4.0,,
"Marlow Gilmore, Western Caro. (SoCon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mark Flagg, Saint Francis (PA) (NEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
"Bryce Nze, Butler (Big East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
"Roman Silva, Oregon St. (Pac-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Victor Ohia Obioha, Pepperdine (WCC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Julian Reese, Maryland (Big Ten)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mohab Yasser, ETSU (SoCon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Gray, CSUN (Big West)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prince Toyambi, Ga. Southern (Sun Belt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Osayi Osifo, Jacksonville (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Russel Tchewa, South Fla. (AAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Trazarien White, UNCW (CAA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"James Karnik, Boston College (ACC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
"Rodney Howard, Georgia Tech (ACC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Lagio Grantsaan, Morgan St. (MEAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"George Dixon, Western Ill. (Summit League)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gabe Osabuohien, West Virginia (Big 12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leslie Nkereuwem, Longwood (Big South)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mervin James, Rider (MAAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patrick Tape, San Francisco (WCC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jalen Bridges, West Virginia (Big 12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hassan Drame, Saint Peter's (MAAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cantavio Dutreil, Sacred Heart (NEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manny Patterson, Southeast Mo. St. (OVC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Rodolfo Rufino Bolis, Eastern Ill. (OVC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bryce Workman, Jacksonville (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ed Croswell, Providence (Big East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ronnie DeGray III, Missouri (SEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charlie Peterson, Army West Point (Patriot)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demond Robinson, Kennesaw St. (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacco Fritz, Canisius (MAAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Golden Dike, Loyola Maryland (Patriot)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garrick Green, Coastal Carolina (Sun Belt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kayne Henry, Jacksonville St. (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tsotne Tsartsidze, North Dakota (Summit League)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James Keefe, Stanford (Pac-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malik Martin, Rhode Island (Atlantic 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrei Savrasov, Ga. Southern (Sun Belt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emmanuel Ansong, Green Bay (Horizon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Victor Enoh, Marist (MAAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alonzo Sule, James Madison (CAA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zion Williams, Gardner-Webb (Big South)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louth-M Coulibaly, Holy Cross (Patriot)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greg Summers, Navy (Patriot)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeMarr Langford, Boston College (ACC)",,,,,,,,,,,,,,,,,,,,,,,1110:18,,,,,34:42,,,,
"Max Christie, Michigan St. (Big Ten)",,,,,,,,,,,,,,,,,,,,,,,1077:51,,,,,,,,,
"Ryan Moffatt, Colgate (Patriot)",,,,,,,,,,,,,,,,,,,,,,,1073:54,,,,,,,,,
"Tyree Eady, North Dakota St. (Summit League)",,,,,,,,,,,,,,,,,,,,,,,1053:08,,,,,32:55,,,,
"Luke Loewe, Minnesota (Big Ten)",,,,,,,,,,,,,,,,,,,,,,,1046:45,,,,,34:53,,,,
"Jonas Harper, Boston U. (Patriot)",,,,,,,,,,,,,,,,,,,,,,,1035:00,,,,,,,,,
"Armaan Franklin, Virginia (ACC)",,,,,,,,,,,,,,,,,,,,,,,1030:55,357.0,,,,,,,,
"Courtney Ramey, Texas (Big 12)",,,,,,,,,,,,,,,,,,,,,,,1024:18,,,,,,,,,
"Caleb Catto, FGCU (ASUN)",,,,,,,,,,,,,,,,,,,,,,,1023:08,,,,,,,,,
"Brandon Murray, LSU (SEC)",,,,,,,,,,,,,,,,,,,,,,,1021:50,,,,,,,,,
"Chucky Hepburn, Wisconsin (Big Ten)",,,,,,,,,,,,,,,,,,,,,,,1021:40,,,,,,,,,
"Riley Grigsby, Seattle U (WAC)",,,,,,,,,,,,,,,,,,,,,,,,364.0,,,,,,,,
"Armon Harried, Canisius (MAAC)",,,,,,,,,,,,,,,,,,,,,,,,360.0,,,,,,,,
"Jack Clark, La Salle (Atlantic 10)",,,,,,,,,,,,,,,,,,,,,,,,346.0,,,,,,3.0,,
"Jahmyl Telfort, Northeastern (CAA)",,,,,,,,,,,,,,,,,,,,,,,,346.0,,,,32:36,,,,
"Deontaye Buskey, Charleston So. (Big South)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marcus Banks, Western Caro. (SoCon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrew Jones, Texas (Big 12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brevin Galloway, Boston College (ACC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tibet Gorener, San Jose St. (Mountain West)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mikel Henderson, UT Martin (OVC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xavier DuSell, Wyoming (Mountain West)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nick Sherod, Richmond (Atlantic 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam Kunkel, Xavier (Big East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Justin Forrest, App State (Sun Belt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chuck Harris, Butler (Big East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin Richie, FGCU (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quincy Guerrier, Oregon (Pac-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maxwell Land, Saint Francis (PA) (NEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,33:54,,,,
"Dequan Morris, Ark.-Pine Bluff (SWAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeAndre Dishman, Middle Tenn. (C-USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marcus Garrett, Bethune-Cookman (SWAC)",,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,
"Gary Grant, Mississippi Val. (SWAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Harrison Henderson, Central Mich. (MAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaiden Delaire, Stanford (Pac-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myron Gordon, Bowling Green (MAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noah Williams, Washington St. (Pac-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trevon Reddish-Rhone, Presbyterian (Big South)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tolu Smith, Mississippi St. (SEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
"Elijah McCadden, Ga. Southern (Sun Belt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Devin Carter, South Carolina (SEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parker Hazen, Lipscomb (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emeka Udenyi, Seattle U (WAC)",,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
"Mike Meadows, Portland (WCC)",,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,35:29,3.0,,42.0,1.88
"Myron Gardner, Little Rock (Sun Belt)",,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
"Eddy Kayouloud, Central Ark. (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,53.8,,,,3.0,,
"Jacob Falko, Binghamton (America East)",,,,,,,,,,,,,,,,,,,,,,,,,,45.8,,,3.1,,61.0,1.39
"Nick Guadarrama, New Hampshire (America East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,34:14,,,,
"Jake Heidbreder, Air Force (Mountain West)",,,,,,,,,,,,,,,,,,,,,,,,,,,,34:03,,,,
"Shaquille Walters, Northeastern (CAA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,33:58,,,,
"B.J. Maxwell, IUPUI (Horizon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,33:43,,3.0,,
"Geronimo Rubio De La Rosa, Columbia (Ivy League)",,,,,,,,,,,,,,,,,,,,,,,,,,,,33:34,3.2,,66.0,1.24
"Allin Blunt, UMass Lowell (America East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,32:30,,,,
"Colin Smalls, American (Patriot)",,,,,,,,,,,,,,,,,,,,,,,,,,,,32:25,,,,
"Antwuan Butler, NJIT (America East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,32:24,,,,
"Koreem Ozier, ULM (Sun Belt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,32:15,,,,
"Brian Taylor, Central Mich. (MAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,32:15,,,,
"Latrell Jones, Nicholls (Southland)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mike DePersia, IUPUI (Horizon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,30.0,2.83
"Bryce Williams, Oklahoma St. (Big 12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,63.0,1.21
"Jermaine Couisnard, South Carolina (SEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,
"Elijah Davis, Mississippi Val. (SWAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,42.0,1.71
"Josh Pierre-Louis, UC Santa Barbara (Big West)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,66.0,1.23
"Jalen Terry, DePaul (Big East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,58.0,1.45
"Vukasin Masic, Maine (America East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,48.0,1.81
"Rahsaan Edwards, South Carolina St. (MEAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,52.0,1.58
"Andre Kelly, California (Pac-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
"Malik Miller, Morgan St. (MEAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
"James Jean-Marie, Portland St. (Big Sky)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
"Chris Ledlum, Harvard (Ivy League)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
"Myles Lewis, McNeese (Southland)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
"Kelton Talford, Winthrop (Big South)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
"Zach Freemantle, Xavier (Big East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
"Kevin Davis, Bethune-Cookman (SWAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
"Andrej Jakimovski, Washington St. (Pac-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Kendall Brown, Baylor (Big 12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"DeAndre Pinckney, Southern Miss. (C-USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Nic Lynch, Lehigh (Patriot)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Touko Tainamo, Denver (Summit League)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Mike Adewunmi, UTRGV (WAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Jyare Davis, Delaware (CAA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Latavian Lawrence, South Carolina St. (MEAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Brandon Stroud, Kennesaw St. (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Curt Lewis, Eastern Ky. (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Sydney Curry, Louisville (ACC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Brock McClure, Lamar University (WAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"De'Torrion Ware, Morgan St. (MEAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"D.J. Harvey, Detroit Mercy (Horizon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Yavuz Gultekin, San Diego (WCC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Joe Reece, Bowling Green (MAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Thomas Kithier, Valparaiso (MVC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Sy Chatman, Illinois St. (MVC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Quincy Olivari, Rice (C-USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
"Takal Molson, James Madison (CAA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
